Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Hessen;Darmstadt;4513;Niedernhausen (Taunus);FNSD;4;Bahnhofstr.37;65527;Niedernhausen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1600367551921;8.31255587142541
Hessen;Gießen;4448;Neustadt (Kr Marburg);FNSM;5;Bahnhofstr. 28;35279;Neustadt/Hessen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.8506413628458;9.12084880451873
Hessen;Darmstadt;4308;Nauheim (b Groß Gerau);FNU;6;Bahnhofstr. 39;64569;Nauheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9421183315012;8.44988904216073
Hessen;Kassel;4534;Vellmar-Niedervellmar;FNV;6; Kasseler Str. 1;34246;Vellmar-Niedervellmar;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.3513848979103;9.47767496109009
Hessen;Darmstadt;4536;Niederwalluf;FNWF;5;Bahnhofstr. 11;65396;Walluf;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0372812598374;8.15961313247682
Hessen;Frankfurt a. M.;4742;Offenbach (Main) Hbf;FO;4;Bismarckstr. 146;63065;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;ja;ja;50.0995990460009;8.76298058032987
Hessen;Gießen;4627;Oberbrechen;FOB;6;Frankfurter Str. 2;65611;Brechen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.3546414940352;8.18758159875869
Hessen;Kassel;4625;Oberbimbach;FOBA;6;Am Bahnhof1;36137;Großenlüder-Oberbimbach;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.5771854097855;9.56416423562207
Hessen;Kassel;4633;Schöneck-Oberdorfelden;FOBD;6;Hochstädter Straße 1 a;61137;Oberdorfelden;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1960772187787;8.82337699080728
Rheinland-Pfalz;Koblenz;4673;Obernhof (Lahn);FOBH;6;Bahnhofstr. 2;56379;Laurenburg;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.3159029156191;7.85301373242873
Hessen;Frankfurt a. M.;4744;Offenbach-Bieber;FOBI;5;Poststraße 11;63073;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0904729474628;8.80851196688274
Hessen;Kassel;4697;Wildeck-Obersuhl;FOBS;6;Am Güterbahnhof 11;36208;Wildeck-Obersuhl;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;50.9505846179068;10.0259435176849
Rheinland-Pfalz;Koblenz;4711;Oberwesel;FOBW;5;Mainzerstr. 1;55430;Oberwesel;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.1041142428176;7.73198058519662
Rheinland-Pfalz;Mainz;7871;Ockenheim;FOCK;6;Am Bahnhof 1;55437;Ockenheim;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;RNN;nein;ja;49.9503914986227;7.96586036682129
Hessen;Darmstadt;4738;Oestrich-Winkel;FOE;6;RheingauStr. 105;65375;Oestrich-Winkel;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0026656468122;8.01897883415222
Hessen;Darmstadt;4747;Dreieich-Offenthal;FOFF;6;Am Bahnhof 4;63303;Dreieich;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9817788999511;8.74970297302518
Rheinland-Pfalz;Mainz;4808;Osthofen;FOHF;4;Bahnhofstr. 1;67574;Osthofen;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;VRN;nein;ja;49.7052932744594;8.32600951194762
Rheinland-Pfalz;Koblenz;4647;Dreikirchen;FOHS;7;Hauptstr. 61;56414;Dreikirchen;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Nord;0;nein;ja;50.4498477733867;7.95847535133362
Hessen;Frankfurt a. M.;4755;Okarben;FOK;5;Hauptstr. 37;61184;Karben;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.2526686304058;8.75339462206914
Hessen;Frankfurt a. M.;7169;Offenbach-Kaiserlei;FOKL;4;Berliner Str. 310;63065;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1051734241434;8.73825073242187
Hessen;Frankfurt a. M.;7170;Offenbach Ledermuseum;FOLM;4;Berliner Str. 230;63065;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1059487967111;8.75040638503305
Hessen;Gießen;4806;Ostheim (b Butzbach);FOM;5;Bahnhofstr. 57;35510;Butzbach;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4065602579053;8.67520154356497
Hessen;Frankfurt a. M.;7171;Offenbach Marktplatz;FOMP;4;Berliner Str. 110;63065;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1059430783606;8.7630989768841
Hessen;Frankfurt a. M.;4743;Offenbach (Main) Ost;FOO;3;Untere Grenzstr. 86;63075;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.10268922316;8.7846851348877
Rheinland-Pfalz;Mainz;4772;Oppenheim;FOPP;5;Bahnhofstr. 21;55276;Oppenheim;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;VRN;nein;ja;49.8575973335754;8.35803735714692
Hessen;Darmstadt;4614;Ober Ramstadt;FORA;6;Bahnhofstr. 23;64372;Ober Ramstadt;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.8319943427411;8.74388694763184
Hessen;Darmstadt;4615;Rödermark-Ober Roden;FORD;4;Dieburgerstr. 69;63322;Ober Roden / Rödermark;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9733521026836;8.82897976479161
Hessen;Kassel;4807;Ostheim (Kr Hanau);FOS;6;Eisenbahnstraße 33;61130;Nidderau;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.2188303216575;8.90363574028015
Hessen;Kurhessenbahn (KHB);4636;Oberelsungen;FOSN;6;;;;Nordhessischer Verkehrsverbund;NVV;nein;ja;51.3768195076487;9.2518025636673
Hessen;Frankfurt a. M.;1853;Frankfurt (Main) Ostendstraße;FOST;3;Uhlandstraße 57;60314;Frankfurt am Main;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1125112720732;8.69702374935151
Hessen;Frankfurt a. M.;4700;Obertshausen (Kr Offenbach);FOTS;5;Brühlstr. 15;63179;Obertshausen;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0722928460003;8.85334708473899
