BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1487899;Müllheim (Baden)                                  ;47.810047992974 7.599562391973;47.810047992974;7.599562391973
SNode-1487900;Auggen                                            ;47.789936200536 7.586884281721;47.789936200536;7.586884281721
SNode-1487901;Schliengen Abzweig Rtb/NBS                        ;47.766704745565 7.572055549114;47.766704745565;7.572055549114
SNode-1487902;Schliengen                                        ;47.761677757566 7.568797118706;47.761677757566;7.568797118706
SNode-1487903;Bad Bellingen                                     ;47.730789257824 7.557589988645;47.730789257824;7.557589988645
SNode-1487904;Rheinweiler                                       ;47.709429528147 7.531304672865;47.709429528147;7.531304672865
SNode-1487905;Kleinkems                                         ;47.686079656038 7.524653356277;47.686079656038;7.524653356277
SNode-1487906;Istein                                            ;47.660993967144 7.542845510611;47.660993967144;7.542845510611
SNode-1487907;Efringen-Kirchen                                  ;47.655803332014 7.563398169891;47.655803332014;7.563398169891
SNode-1487908;Eimeldingen                                       ;47.627899213285 7.595688841263;47.627899213285;7.595688841263
SNode-1487909;Haltingen                                         ;47.612879565862 7.611810777812;47.612879565862;7.611810777812
SNode-1487910;Weil am Rhein                                     ;47.594036856924 7.608456631731;47.594036856924;7.608456631731
SNode-1487911;Basel Bad Bf                                      ;47.567770874396 7.608197689125;47.567770874396;7.608197689125
SNode-1487912;Grenzach                                          ;47.550917963074 7.659726329879;47.550917963074;7.659726329879
SNode-1487913;Wyhlen                                            ;47.546337231414 7.691069675015;47.546337231414;7.691069675015
SNode-1487914;Herten (Baden)                                    ;47.549548811963 7.739956395243;47.549548811963;7.739956395243
SNode-1487915;Rheinfelden (Baden)                               ;47.556922062117 7.784636492766;47.556922062117;7.784636492766
SNode-1487916;Beuggen                                           ;47.581903166665 7.810924491374;47.581903166665;7.810924491374
SNode-1487917;Schwörstadt                                       ;47.590631804630 7.868070144538;47.590631804630;7.868070144538
SNode-1487918;Wehr-Brennet                                      ;47.581633405308 7.910258071235;47.581633405308;7.910258071235
SNode-1487919;Bad Säckingen                                     ;47.555843703216 7.948651953178;47.555843703216;7.948651953178
SNode-1487920;Murg (Baden)                                      ;47.553432031440 8.018801733381;47.553432031440;8.018801733381
SNode-1487921;Murg Gbf                                          ;47.553897356256 8.033920864094;47.553897356256;8.033920864094
SNode-1487922;Laufenburg (Baden)                                ;47.563487715663 8.058329083299;47.563487715663;8.058329083299
SNode-1487923;Laufenburg (Baden) Ost                            ;47.566127814664 8.073684596731;47.566127814664;8.073684596731
SNode-1487924;Albbruck                                          ;47.592350706319 8.132065786742;47.592350706319;8.132065786742
SNode-1487925;Dogern                                            ;47.608885735887 8.167277972017;47.608885735887;8.167277972017
SNode-1487926;Waldshut                                          ;47.621208717999 8.219525114854;47.621208717999;8.219525114854
SNode-1487927;Tiengen (Hochrhein)                               ;47.635434993042 8.272032638019;47.635434993042;8.272032638019
SNode-1487928;Lauchringen West                                  ;47.632708201035 8.308513302002;47.632708201035;8.308513302002
SNode-1487929;Lauchringen                                       ;47.629057501008 8.322205473242;47.629057501008;8.322205473242
SNode-1487930;Grießen (Baden)                                   ;47.628391892022 8.395992100819;47.628391892022;8.395992100819
SNode-1487931;Erzingen (Baden)                                  ;47.660193419681 8.430725532208;47.660193419681;8.430725532208
SNode-1487932;Trasadingen                                       ;47.664839175065 8.436233454818;47.664839175065;8.436233454818
SNode-1487933;Wilchingen-Hallau                                 ;47.679492667942 8.464044456120;47.679492667942;8.464044456120
SNode-1487934;Neunkirch                                         ;47.689159996280 8.494793874985;47.689159996280;8.494793874985
SNode-1487935;Beringen Bad Bf                                   ;47.694906044581 8.574449412597;47.694906044581;8.574449412597
SNode-1487936;Neuhausen Bad Bf                                  ;47.682288154153 8.612868603230;47.682288154153;8.612868603230
SNode-1487937;Schaffhausen PB                                   ;47.698457808759 8.632324627188;47.698457808759;8.632324627188
SNode-1487938;Herblingen                                        ;47.717295206800 8.664939394268;47.717295206800;8.664939394268
SNode-1487939;Thayngen                                          ;47.745514686363 8.704532197555;47.745514686363;8.704532197555
SNode-1487940;Bietingen                                         ;47.744060000082 8.738858680120;47.744060000082;8.738858680120
SNode-1487941;Gottmadingen                                      ;47.737377287358 8.775157708060;47.737377287358;8.775157708060
SNode-1487942;Singen (Hohentwiel)                               ;47.758812333204 8.841188434120;47.758812333204;8.841188434120
SNode-1487943;Singen (Hohentwiel) Industriegebiet               ;47.759424443212 8.872302687581;47.759424443212;8.872302687581
SNode-1487944;Böhringen-Rickelshausen                           ;47.748718338772 8.926661317415;47.748718338772;8.926661317415
SNode-1487945;Radolfzell                                        ;47.735777204924 8.968675564011;47.735777204924;8.968675564011
SNode-1487946;Markelfingen                                      ;47.739544546573 9.002433914909;47.739544546573;9.002433914909
